title,points,comments,date,story_id,url,event
OpenAI and Hugging Face address security incident during model evaluation,1632,1157,2026-07-21,48997548,https://news.ycombinator.com/item?id=48997548,july_incident
Kimi-K3 on HuggingFace,1382,544,2026-07-27,49065752,https://news.ycombinator.com/item?id=49065752,july_incident
OpenAI’s accidental attack against Hugging Face is science fiction that happened,587,450,2026-07-23,49015639,https://news.ycombinator.com/item?id=49015639,july_incident
Anatomy of a Frontier Lab Agent Intrusion: A Timeline of the July 2026 Incident,469,259,2026-07-28,49089500,https://news.ycombinator.com/item?id=49089500,july_incident
Kimi-K3 Technical Report [pdf],391,183,2026-07-27,49070985,https://news.ycombinator.com/item?id=49070985,july_incident
Inflect-Micro-v2: complete voice in 9.36M parameters,214,29,2026-07-26,49053375,https://news.ycombinator.com/item?id=49053375,july_incident
Show HN: Cactus Hybrid: We taught Gemma 4 to know when it's wrong,191,44,2026-07-22,49010782,https://news.ycombinator.com/item?id=49010782,july_incident
1-Bit LLM in the Browser,124,48,2026-07-16,48936994,https://news.ycombinator.com/item?id=48936994,july_incident
Statement on US government directive to suspend access to Fable 5 and Mythos 5,3158,2314,2026-06-13,48511072,https://news.ycombinator.com/item?id=48511072,june_ban
Claude Fable 5,2626,2159,2026-06-09,48463808,https://news.ycombinator.com/item?id=48463808,june_ban
Anthropic requires 30 day data retention for Fable and Mythos,609,304,2026-06-09,48464258,https://news.ycombinator.com/item?id=48464258,june_ban
AWS Bedrock to require sharing data with Anthropic for Mythos and future models,427,255,2026-06-10,48473166,https://news.ycombinator.com/item?id=48473166,june_ban
Claude Fable 5: mid-tier results on coding tasks,410,250,2026-06-11,48492210,https://news.ycombinator.com/item?id=48492210,june_ban
We've suspended access to Claude Mythos 5 and Claude Fable 5,253,5,2026-06-13,48511121,https://news.ycombinator.com/item?id=48511121,june_ban
System Card: Claude Fable 5 and Claude Mythos 5 [pdf],213,1,2026-06-09,48463811,https://news.ycombinator.com/item?id=48463811,june_ban
Our response to the US ban on Fable 5 and Mythos 5,98,21,2026-06-13,48512915,https://news.ycombinator.com/item?id=48512915,june_ban
