window_start,window_end,concept_excess
20260115,20260213,16182.0
20260120,20260218,20194.5
20260125,20260223,24625.0
20260130,20260228,29066.0
20260204,20260305,28777.5
20260209,20260310,25015.5
20260214,20260315,19731.5
20260219,20260320,16613.0
20260224,20260325,22257.5
20260301,20260330,17630.5
20260306,20260404,13206.0
20260311,20260409,11947.0
20260316,20260414,11726.0
20260321,20260419,12172.5
20260326,20260424,2491.5
20260331,20260429,2834.0
20260405,20260504,3763.5
20260410,20260509,5381.0
20260415,20260514,5933.5
20260420,20260519,7049.0
20260425,20260524,5760.5
20260430,20260529,4901.5
